test,tool,resolution,nproc,time_mean_s,memory_Mb,time_mean_ms,log10(time_ms),memory_Kb,log10(memory_Kb),Unnamed: 0
compartments,cooltools,100000,1,0.5961112640798092,154.95703125,596.1112640798092,2.7753273283073936,158676.0,5.200511243983716,17.0
compartments,cooltools,1000000,1,0.0627846553921699,0.00390625,62.78465539216996,1.7978535148710555,4.0,0.6020599913279624,18.0
compartments,fanc,100000,1,53.95248204283416,1672.400390625,53952.48204283416,4.732011428865296,1712538.0,6.233640216956997,19.0
compartments,fanc,1000000,1,0.7460747677832842,178.6328125,746.0747677832842,2.8727823524171727,182920.0,5.262261192708644,20.0
expected,cooltools,1000,1,31.51378975249827,2649.2412109375,31513.78975249827,4.498500633247952,2712823.0,6.433421458844174,0.0
expected,cooltools,10000,1,9.159673560410738,2480.44140625,9159.673560410738,3.961879996218229,2539972.0,6.404828929095324,1.0
expected,cooltools,100000,1,0.9139973148703576,681.265625,913.9973148703576,2.960944919870921,697616.0,5.843616432692895,2.0
expected,cooltools,1000000,1,0.0629288889467716,28.4921875,62.92888894677162,1.7988500640445488,29176.0,4.465025750305725,3.0
expected,fanc,1000,1,306.9123006183654,2934.0791015625,306912.3006183654,5.48701429469975,3004497.0,6.477771774705025,4.0
expected,fanc,10000,1,81.79991755075753,990.09375,81799.91755075753,4.912752865929647,1013856.0,6.005976275661606,5.0
expected,fanc,100000,1,10.956462141126394,247.037109375,10956.462141126394,4.039670342412531,252966.0,5.403062153568481,6.0
expected,fanc,1000000,1,0.2466524932533502,23.18359375,246.65249325335023,2.392085509827348,23740.0,4.375480714618573,7.0
insulation,cooltools,1000,1,34.523478156996134,2211.6591796875,34523.478156996134,4.538114543366932,2264739.0,6.355018158935566,8.0
insulation,cooltools,10000,1,2.4320367190011893,821.7421875,2432.0367190011893,3.3859701276480716,841464.0,5.925035540471334,9.0
insulation,fanc,1000,1,133.96144772900152,2758.1669921875,133961.44772900152,5.126979832338412,2824363.0,6.450920513472408,10.0
insulation,fanc,10000,1,36.756057810998755,678.150390625,36756.057810998755,4.56532892592575,694426.0,5.841625972890125,11.0
pileups,cooltools,1000,1,11.391224170001806,5153.439453125,11391.224170001806,4.05657039850478,5277122.0,6.7223971346005325,12.0
pileups,cooltools,10000,1,3.764539091003826,1801.98046875,3764.539091003826,3.575711811217448,1845228.0,6.266050036090809,13.0
pileups,cooltools,100000,1,0.8469104949981556,261.255859375,846.9104949981556,2.9278375147198648,267526.0,5.427365996106076,14.0
pileups,fanc,10000,1,75.22657656400406,5398.6357421875,75226.57656400406,4.876371298251567,5528203.0,6.74258398229688,15.0
pileups,fanc,100000,1,31.454169153003022,1135.9140625,31454.169153003022,4.49767821798926,1163176.0,6.065645432738574,16.0
saddle,cooltools,100000,1,0.2813144661486149,0.015625,281.3144661486149,2.449192065641844,16.0,1.2041199826559248,21.0
saddle,cooltools,1000000,1,0.0570637285709381,0.044921875,57.06372857093811,1.7563601452544575,46.0,1.662757831681574,22.0
saddle,fanc,100000,1,18.496105659753084,38.8388671875,18496.105659753084,4.267080297672348,39771.0,4.599566511001618,23.0
saddle,fanc,1000000,1,0.2437885869294405,0.001953125,243.7885869294405,2.3870133700699463,2.0,0.3010299956639812,24.0
